N_xy,N_theta,N_total,time_s,mean_abs_error,median_abs_error,max_abs_error,p95_abs_error,mean_rel_error,median_rel_error,max_rel_error,p95_rel_error
50,50,125000,0.009041547775268555,0.0011224169520016349,0.0004237091335883292,0.023348421583335804,0.005022001018070383,2705.3392089398167,0.009101652452239917,3023304.1616156697,0.12079770186006523
50,500,1250000,0.026838302612304688,0.07214334518940098,0.045863420445180894,0.3772040318655551,0.22380572930231055,200761.03580519682,0.9999998757544684,232497248.79860878,3.9384925820714485
500,50,12500000,0.2090611457824707,0.07231650717690541,0.04789871651969838,0.3772040318655551,0.2162039970618259,317753.9267949204,0.9999999159321045,253247208.8932991,4.436590506479773
500,500,125000000,1.9891490936279297,0.0801423107195623,0.058441528155279754,0.3772040318655551,0.23573509490362046,1.0274764410971238,0.9999999982947823,104.64382183512765,0.9999999995790275
